"artigo";"BW";"BPS";"OBERR";"EFF";"MTTF";"MTTR";"FLOPS";"IPS";"IOPS";"NNOPS";"TPUT";"TIME";"RPS";"PPS";"TPS";"UTIL";"AVAIL";"UPDWT";"LAT";"SPDU"
"18994-73-15222-1-10-20220303.txt";0;0;1;0;0;0;0;0;0;0;0;5;0;0;0;2;0;0;0;0
"18995-73-15223-1-10-20220303.txt";0;0;0;1;0;0;0;0;0;0;0;14;0;0;0;2;1;0;1;0
"18996-73-15224-1-10-20220303.txt";0;0;1;0;0;0;2;0;0;0;0;7;0;0;0;3;2;0;3;0
"18997-73-15225-1-10-20220303.txt";0;0;0;1;0;0;0;0;0;0;0;7;1;0;2;25;1;0;0;18
"18998-73-15226-1-10-20220303.txt";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0
"18999-73-15227-1-10-20220303.txt";1;0;0;1;0;0;0;0;0;0;0;8;0;0;0;3;0;0;0;5
"19000-73-15228-1-10-20220303.txt";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0
"19001-73-15229-1-10-20220303.txt";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1
"19002-73-15230-1-10-20220303.txt";0;0;1;3;0;0;0;0;0;0;0;1;0;0;0;6;0;0;36;0
"19003-73-15231-1-10-20220303.txt";0;0;0;0;0;0;0;0;0;0;5;6;0;0;0;5;0;0;9;0
"19004-73-15232-1-10-20220303.txt";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0
"19005-73-15233-1-10-20220303.txt";0;0;2;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;1
"19006-73-15234-1-10-20220303.txt";0;0;2;0;0;0;0;0;0;0;0;1;0;0;0;3;0;0;0;0
"19007-73-15235-1-10-20220303.txt";0;0;0;1;0;0;0;0;0;0;0;5;0;0;0;1;1;0;1;0
"19008-73-15236-1-10-20220303.txt";0;0;2;3;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;2
"19009-73-15237-1-10-20220303.txt";0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;1;0;0;0;0
"19010-73-15238-1-10-20220303.txt";0;0;0;0;0;0;0;0;0;0;12;1;0;0;0;5;0;0;1;0
"19011-73-15239-1-10-20220303.txt";0;0;0;0;0;0;0;0;0;0;25;13;0;0;0;6;0;0;17;0
"19012-73-15240-1-10-20220303.txt";0;0;0;1;0;0;0;0;0;0;0;7;0;0;0;8;0;0;0;0
"19013-73-15241-1-10-20220303.txt";0;1;0;1;0;0;0;0;0;0;1;4;0;0;0;3;1;0;0;0
"19014-73-15242-1-10-20220303.txt";0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;4;0;0;0;0
"19015-73-15243-1-10-20220303.txt";0;0;0;4;0;0;0;0;0;0;0;1;0;0;0;3;0;0;1;0
"19016-73-15244-1-10-20220303.txt";2;2;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;6;0
"19017-73-15245-1-10-20220303.txt";3;0;0;3;0;0;0;0;0;0;2;2;0;0;0;6;1;0;4;0
