"ano";"BW";"BPS";"OBERR";"EFF";"MTTF";"MTTR";"FLOPS";"IPS";"IOPS";"NNOPS";"TPUT";"TIME";"RPS";"PPS";"TPS";"UTIL";"AVAIL";"UPDWT";"LAT";"SPDU";"cit.";"art.";"n"
2000;7;4;0;9;0;0;0;3;0;0;3;21;1;0;1;34;10;0;3;0;96;9;9
2001;17;49;4;18;0;0;0;1;0;0;4;73;2;0;1;54;12;1;25;15;276;18;18
2002;3;6;7;30;0;0;1;4;0;0;0;110;0;0;0;81;22;0;11;26;301;19;20
2003;27;15;4;25;0;0;9;3;0;1;9;118;0;0;0;46;10;0;113;21;401;19;19
2004;6;3;9;20;0;0;2;1;0;0;45;106;1;0;2;99;7;0;88;27;416;24;24
2005;11;28;9;17;0;0;0;1;0;0;3;156;0;0;0;68;19;0;10;41;363;23;24
2006;5;2;27;24;0;0;0;0;0;0;4;75;0;0;0;96;4;0;48;9;294;16;17
2007;8;5;12;27;0;1;2;26;0;0;9;131;0;0;0;100;10;1;38;48;418;21;21
2008;15;14;38;56;0;0;0;6;0;0;35;194;0;0;0;71;18;0;51;30;528;27;27
2009;22;13;32;20;0;0;0;14;0;0;15;153;0;0;0;61;20;0;61;30;441;22;22
2010;1;2;14;4;10;0;0;40;0;0;1;75;0;0;0;45;13;1;12;20;238;19;19
2011;10;2;72;16;0;0;0;3;0;0;18;114;0;0;0;47;8;0;30;36;356;15;15
2012;4;24;14;18;0;0;3;39;0;0;21;170;0;0;1;117;17;0;16;40;484;23;23
2013;9;26;32;55;0;0;1;34;3;0;8;155;0;0;0;58;10;9;54;98;552;19;20
2014;1;14;19;26;0;0;2;2;0;0;53;124;0;0;0;60;13;1;36;67;418;18;18
2015;15;15;73;89;0;0;20;18;0;0;1;165;0;1;0;48;6;1;7;65;524;22;22
2016;27;7;12;61;0;0;18;8;0;0;15;128;0;0;1;81;10;0;31;154;553;24;24
2017;17;13;22;36;0;0;0;0;0;0;22;232;3;0;0;41;7;0;28;133;554;26;26
2018;12;22;51;92;1;0;0;14;2;0;4;279;0;0;0;106;35;0;41;81;740;35;35
2019;27;41;58;86;1;0;7;0;0;0;19;357;9;0;1;104;13;0;63;129;915;40;40
2020;20;9;94;35;0;0;7;9;0;8;13;181;0;0;0;52;9;0;32;65;534;29;29
2021;19;6;47;52;0;0;1;0;1;1;5;231;1;0;0;28;13;0;12;98;515;20;21
2022;32;34;110;18;0;0;5;4;0;26;28;176;10;0;0;115;40;0;76;37;711;26;26
