"ano";"HT";"TTST";"CST";"FISH";"HKDT";"LEVE";"BART";"SWT";"KSTST";"FTST";"WSRT";"ANOVA";"ZTST";"THSD";"UTST";"KWTST";"HYPT";"SL";"CI";"PVAL";"cit.";"art.";"n"
2000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9
2001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18
2002;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20
2003;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19
2004;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24
2005;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;2;24
2006;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;2;17
2007;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;6;1;21
2008;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;2;27
2009;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;2;22
2010;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;19
2011;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;15
2012;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;9;4;23
2013;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20
2014;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;2;18
2015;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;7;6;22
2016;0;1;0;0;7;0;0;0;1;2;0;4;0;0;0;0;0;0;6;0;21;7;24
2017;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;2;1;1;6;2;26
2018;8;10;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;1;11;12;45;9;35
2019;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;2;6;3;40
2020;2;4;0;0;0;0;0;0;1;0;0;5;0;0;0;0;0;1;6;3;22;5;29
2021;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21
2022;4;4;0;0;0;0;2;2;0;1;3;3;0;0;0;0;5;3;2;3;32;7;26
